sat,lat,lon,rise_time,set_time,incidence_angle,reward
smallsat00,1.0560800553587724,-2.1166265828063238,949.0735882875821,951.6156317439628,0.253123436869923,0.3734382815650385
smallsat00,1.058709725489461,-2.0510884920095553,951.2268480172538,953.7687612912652,0.14528668797193384,0.015972597470743154
smallsat00,1.060404998698508,-2.1140482428089373,952.9471754535983,955.4885398396915,0.23441443430836653,0.012730922371886175
smallsat00,1.0635639050182777,-2.049537889142206,955.6432132731242,958.1858642341666,0.15529697229269898,0.00938887415296665
smallsat00,1.0664007108245905,-2.0418425404839455,958.3025606628813,960.8478079330066,0.20102660712900772,0.39948669643549617
smallsat00,1.0665478420805337,-2.0441739512987596,958.4072852033245,960.951775652275,0.18735014218645868,0.40632492890677063
smallsat00,1.0700915062339067,-2.0528059134468095,961.53238455126,964.0747168183043,0.13682427689132612,0.769213003418233
smallsat00,1.0841907122638295,-2.0801597606816165,974.2165518563148,976.7559460048949,0.02190061985689635,0.0041742021213240525
smallsat00,1.095615864440187,-2.105651760483565,984.7187774081135,987.2599471607263,0.16109119940561623,0.003121579647011702
smallsat00,1.0962347581929441,-2.024134691692598,985.6505229755082,988.2046345458444,0.2961199851772167,0.010180685907725131
smallsat00,1.1007810790950008,-2.019861340285553,989.8613659513322,992.4176688844913,0.31729181375791454,0.3413540931210427
smallsat00,1.1012723020129755,-2.0443476639192095,989.9014843530385,992.4482587914036,0.18736443837435648,0.04550461178731008
smallsat00,1.1001301410971775,-1.9747232686513327,990.5926907556957,993.1777934461913,0.5292582574113375,0.002669262594391913
smallsat00,1.1014120156195981,-2.14330085119028,990.6067518673999,993.1579582978927,0.35548224193063926,0.0025056702041209846
smallsat00,1.102787492149802,-2.0632518835529217,991.1118534268121,993.6542868502991,0.08222960822985655,0.005523142217672723
smallsat00,1.1029971236462581,-2.0523611162869395,991.3807160459713,993.9254560111154,0.14307831861645473,0.42846084069177265
smallsat00,1.1039647341835637,-2.0554152679450044,992.2320410887235,994.7760744711608,0.12659928570016188,0.43670035714991906
smallsat00,1.1049878461910827,-2.0580444319302087,993.1399846162806,995.6835219797453,0.11283260213662204,0.443583698931689
smallsat00,1.1067684310939674,-2.0631767471286233,994.7229042327126,997.2655989092109,0.08345942297335494,0.4582702885133225
smallsat00,1.1067684310939674,-2.0631662751531112,994.7229602389929,997.2656566973213,0.08351777712910553,0.4582411114354472
smallsat00,1.1084798311453037,-2.024661082995,996.7489892043684,999.3034878204087,0.2909088155040919,0.0032845103665850458
smallsat00,1.1139474066397337,-2.0434351185198047,1001.411678089467,1003.9595637445657,0.19261010765412584,0.01084674494373859
smallsat00,1.1153468639938608,-2.069415077474026,1002.4765873816334,1005.0189368578239,0.051099413734535123,0.008063124581693077
smallsat00,1.1150897420884565,-1.9905842798413882,1003.607858132902,1006.1810534881774,0.4521433210549913,0.0018672781807375716
smallsat00,1.116409926587958,-2.015800744514326,1004.1276273312357,1006.6865017265836,0.3334094040355219,0.00384045062021668
smallsat00,1.1170101976775952,-2.1483784852232306,1004.8289331287882,1007.3818163812306,0.36484022736585103,0.31757988631707446
